query,ground_truth,object_id,num_axioms,axioms
Расскажите всё о I11 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of I11

Here's a detailed description of I11, based on the provided Attempto Controlled English axioms:

**1. What is I11?**

I11 is a `product_related_product_category`. This means it represents a category used for organizing products.

**2. Properties and Values:**

*   **Name:** I11 has a name, which is `i11_name`.
*   **`i11_name` type:** `i11_name` is a `label`.
*   **Products:** I11 is associated with a `set_of_product` called `i11_products`. This set contains specific products belonging to this category.

**3. Relationships with Other Objects:**

*   **Relationship to Product Categories:** I11 has a `sub_category` relationship to `i12` ( `i12 product_category_relationship_has_sub_category i11`). This indicates that I11 is a more specific type of category defined by I12.
*   **Contains Products:** I11 *has* products, specifically the `set_of_product` `i11_products`.  The `i11_products` set includes the following individual products: `i5`, `i108`, `i148`, `i28`, and `i68`.
*   **`i11_products` type:** `i11_products` is a `set_of_product`.
*   **`i11_products` content:** `i11_products` *has content* which are the products `i5`, `i108`, `i148`, `i28`, and `i68`.



**In summary:** I11 is a product category named `i11_name`. It is a subcategory of `i12` and contains the products `i5`, `i108`, `i148`, `i28`, and `i68` within the `i11_products` set.",I11,11,"i11_products set_of_product_has_content i5.
i12 product_category_relationship_has_sub_category i11.
i11 is a product_related_product_category.
i11_products set_of_product_has_content i108.
i11_products set_of_product_has_content i148.
i11 product_category_has_name i11_name.
i11_products set_of_product_has_content i28.
i11_name is a label.
i11_products is a set_of_product.
i11 product_related_product_category_has_products i11_products.
i11_products set_of_product_has_content i68."
Расскажите всё о I12 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of i12

i12 is a **product_category_relationship**. This means it represents a relationship *between* product categories, defining how they are organized.

Here's a breakdown of its properties and relationships:

*   **Name:** i12 has a name, which is ""i12\_name"".  ""i12\_name"" itself is a *label*.
*   **Description:** i12 has a description, which is ""i12\_description"". ""i12\_description"" is a piece of *text*.
*   **Category:** i12 relates to category i10 via the `product_category_relationship_has_category` relationship. This indicates i10 is a category *involved* in this relationship – likely a parent or broader category.
*   **Sub-category:** i12 relates to sub-category i11 via the `product_category_relationship_has_sub_category` relationship. This indicates i11 is a sub-category *involved* in this relationship – likely a child or more specific category.

**In essence:** i12 defines a categorization link *from* category i10 *to* sub-category i11, and is described by the label ""i12\_name"" and the text ""i12\_description"". It acts as the connection defining that i11 is a subcategory of i10 within a product categorization system.",I12,7,"i12_name is a label.
i12 product_category_relationship_has_category i10.
i12 is a product_category_relationship.
i12 product_category_relationship_has_sub_category i11.
i12 product_category_relationship_has_name i12_name.
i12_description is a text.
i12 product_category_relationship_has_description i12_description."
Расскажите всё о I13 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of I13

Based on the provided ACE axioms, **I13 is a product_definition**.

Here's a breakdown of its properties and relationships:

**Properties:**

*   **id:** I13 has an identifier, `i13_id`.
*   **formation:** I13 has a formation, specified as `i6`.
*   **frame_of_reference:** I13 has a frame of reference, specified as `i3`.
*   **description:** I13 has a description, which is a text called `i13_description`.
*   **definition:** I13 *is* the definition for a property, as stated by `i16 property_definition_has_definition i13`.

**Relationships with other objects:**

*   **Relating Product Definition in Relationships:** I13 is frequently referenced as the 'relating product definition' in several `product_definition_relationship` instances: `i48`, `i168`, `i186`, `i128`, and `i88`. This indicates that I13 is involved in relationships *with* other product definitions, though the specific nature of these relationships isn't detailed in these axioms.
*   **i6 (Formation):** I13 *has* a formation represented by object `i6`.
*   **i3 (Frame of Reference):** I13 *has* a frame of reference represented by object `i3`.
*   **i13_id (Identifier):** I13 *has* an identifier represented by object `i13_id`.
*   **i13_description (Description):** I13 *has* a textual description represented by object `i13_description`.



In summary, I13 represents a core product definition that is linked to other definitions through relationships, and possesses properties like an ID, formation, frame of reference, and a textual description. It also serves as the definition for at least one property.",I13,13,"i48 product_definition_relationship_has_relating_product_definition i13.
i13_id is an identifier.
i13 product_definition_has_formation i6.
i168 product_definition_relationship_has_relating_product_definition i13.
i13 product_definition_has_id i13_id.
i13 product_definition_has_frame_of_reference i3.
i13 product_definition_has_description i13_description.
i186 product_definition_relationship_has_relating_product_definition i13.
i13_description is a text.
i16 property_definition_has_definition i13.
i128 product_definition_relationship_has_relating_product_definition i13.
i88 product_definition_relationship_has_relating_product_definition i13.
i13 is a product_definition."
Расскажите всё о I14 и его отношениях в Attempto Controlled English.,"## Analysis of i14

Based on the provided ACE axioms, here's a comprehensive description of i14 and its relationships:

**1. What is i14?**

i14 is a `shape_definition_representation`. This means it represents a definition of a shape, likely within a knowledge representation system.

**2. Properties and Values:**

i14 has two properties defined:

*   **`property_definition_representation_has_definition`**:  The value of this property is `i16`. This indicates that i14 *defines* something represented by i16.  We don't know what i16 *is* from these axioms, only that i14 defines it.
*   **`property_definition_representation_has_used_representation`**: The value of this property is `i15`. This indicates that i14 *uses* a representation denoted by i15 in its definition. Again, we don't know what i15 *is* from these axioms, only that it's used by i14.

**3. Relationships with other objects:**

*   **Relationship with i16:** i14 *defines* i16.  This is a defining relationship - i14 provides the definition for whatever i16 represents.
*   **Relationship with i15:** i14 *uses* i15. This suggests i15 is a component or resource utilized in the definition provided by i14.  It could be a geometric primitive, a coordinate system, or another representation.



**In summary:** i14 is a shape definition. It defines something (i16) and relies on another representation (i15) to do so. The exact nature of i16 and i15 remains unknown without further axioms.",I14,3,"i14 is a shape_definition_representation.
i14 property_definition_representation_has_definition i16.
i14 property_definition_representation_has_used_representation i15."
Расскажите всё о I15 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of I15

Based on the provided ACE axioms, **I15 is a shape representation**.

Here's a breakdown of its properties and relationships:

**Properties:**

*   **Name:** I15 has a name, which is `i15_name`. `i15_name` is a label.
*   **Items:** I15 has items, specifically a set of representation items called `i15_items`.
*   **Context of Items:** I15 has a context of items, which is `i25`.
*   **Used Representation:** I15 is used by a property definition (`i14`).

**Relationships with other objects:**

*   **i15_name (Label):**  `i15_name` is the name *of* I15.
*   **i15_items (Set of Representation Item):** `i15_items` *contains* several representation items: `i191`, `i173`, `i93`, `i133`, and `i53`.  This means `i15_items` is a collection of these individual items.
*   **i14 (Property Definition):** I15 is *used by* the property definition `i14`.
*   **i25:** I15 has a context *of* `i25`. The type of `i25` is not specified in the given axioms.
*   **i51, i171, i91, i131, i189 (Representation Relationships):**  These representation relationships all *have* I15 as their `rep_2`. This suggests I15 is a component or target of these relationships.



In essence, I15 is a shape representation that is named `i15_name` and consists of a set of representation items (`i15_items`). It is also utilized by a property definition (`i14`) and involved in multiple representation relationships. The exact nature of these relationships and `i25` would require further axioms for complete understanding.",I15,17,"i51 representation_relationship_has_rep_2 i15.
i15 representation_has_name i15_name.
i171 representation_relationship_has_rep_2 i15.
i91 representation_relationship_has_rep_2 i15.
i15 is a shape_representation.
i15_items set_of_representation_item_has_content i191.
i15 representation_has_items i15_items.
i15_items is a set_of_representation_item.
i15_items set_of_representation_item_has_content i173.
i15_items set_of_representation_item_has_content i93.
i15_items set_of_representation_item_has_content i53.
i131 representation_relationship_has_rep_2 i15.
i15_items set_of_representation_item_has_content i133.
i15_name is a label.
i14 property_definition_representation_has_used_representation i15.
i189 representation_relationship_has_rep_2 i15.
i15 representation_has_context_of_items i25."
Расскажите всё о I16 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of I16

I16 is a **product_definition_shape**. This means it represents a defined form or structure within a product definition.

Here's a breakdown of its properties and relationships:

**Properties:**

*   **Name:** I16 has a name, which is labeled as `i16_name`.
*   **Description:** I16 has a description, which is a text string denoted as `i16_description`.
*   **Definition:** I16 *is* the definition represented by `i13`. 
*   **Representation:** I16 *is* the definition that `i14` represents.

**Relationships with other objects:**

*   **i13:** I16 *is* the definition that `i13` defines. This suggests `i13` might be a more formal or detailed specification that I16 embodies.
*   **i14:** I16 *is* the definition that is represented by `i14`. This implies `i14` could be a representation or instance utilizing the definition provided by I16.
*   **i16\_name:** This is a label *of* I16, providing a human-readable identifier.
*   **i16\_description:** This is a textual description *of* I16, offering further explanation of its purpose or characteristics.



In essence, I16 serves as a core definition for a product shape, possessing a name, a description, and being both defined *by* and representing a definition *for* other elements within the knowledge base (`i13` and `i14` respectively).",I16,7,"i16 property_definition_has_description i16_description.
i16_name is a label.
i16_description is a text.
i16 property_definition_has_definition i13.
i14 property_definition_representation_has_definition i16.
i16 is a product_definition_shape.
i16 property_definition_has_name i16_name."
Расскажите всё о I17 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of I17

Based on the provided ACE axioms, **I17 represents the unit of length known as the metre (meter)**. 

Here's a breakdown of its properties and relationships:

**1. Type/Class:**

*   I17 is a `length_unit`.
*   I17 is a `si_unit`.
*   I17 is a `named_unit`.

**2. Properties and Values:**

*   **Name:** I17 has the name ""metre"". (defined by `i17 si_unit_has_name metre.`)
*   **Prefix:** I17 has the prefix ""milli"". (defined by `i17 si_unit_has_prefix milli.`)

**3. Relationships with other objects:**

*   **Component of Measures:** I17 is a unit component of several `measure_with_unit` instances: i61, i141, i101, i21, and i181. This means these measurements are expressed *in* metres (or a derivative thereof, given the ""milli"" prefix).  The axiom `measure_with_unit_has_unit_component i17` repeated for different identifiers indicates that multiple measurements utilize this unit.

**In summary:** I17 is the standard SI unit of length, the metre, which can also be used with the ""milli"" prefix. It is used as a component in defining the values of several measurements (i61, i141, i101, i21, and i181).",I17,10,"i61 measure_with_unit_has_unit_component i17.
i17 si_unit_has_name metre.
i141 measure_with_unit_has_unit_component i17.
i101 measure_with_unit_has_unit_component i17.
i21 measure_with_unit_has_unit_component i17.
i17 is a length_unit.
i17 is a si_unit.
i181 measure_with_unit_has_unit_component i17.
i17 is a named_unit.
i17 si_unit_has_prefix milli."
Расскажите всё о I18 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of I18

Based on the provided ACE axioms, **I18 is a unit of measurement**. More specifically, it is a **SI unit** and a **plane angle unit**.

Here's a breakdown of its properties and relationships:

**Properties:**

*   **Name:** radian
*   **Type:** SI unit, named unit, plane angle unit.

**Relationships with other objects:**

*   **Belongs to Sets:** I18 is a member of several sets of units: `i145_units`, `i105_units`, `i25_units`, and `i185_units`. These sets likely represent different categorizations or collections of units within the knowledge base.
*   **Used in Measurement:** I18 is used as a unit component in measurements, as indicated by the axiom `i19 measure_with_unit_has_unit_component i18`. This means quantities can be *measured with* the unit 'radian'.

**In summary:** I18 represents the 'radian', a standard SI unit used for measuring plane angles. It is part of multiple unit sets and is explicitly defined as a component used in measurement contexts.",I18,10,"i145_units set_of_unit_has_content i18.
i18 si_unit_has_name radian.
i18 is a named_unit.
i18 is a si_unit.
i105_units set_of_unit_has_content i18.
i25_units set_of_unit_has_content i18.
i65_units set_of_unit_has_content i18.
i19 measure_with_unit_has_unit_component i18.
i18 is a plane_angle_unit.
i185_units set_of_unit_has_content i18."
Расскажите всё о I19 и его отношениях в Attempto Controlled English.,"**

## Comprehensive Description of i19

Based on the provided ACE axioms, **i19 is a plane angle measure with a unit**. Let's break down its properties and relationships:

**1. Type/Class:**

*   i19 is a `plane_angle_measure_with_unit`. This is its primary classification.

**2. Properties and Values:**

*   **Value Component:** i19 *has* a value component, which is specifically `i19_value_component`.  `i19_value_component` itself is a `plane_angle_measure`. This suggests `i19` represents a measurement *of* an angle, and `i19_value_component` represents the numerical value of that angle.
*   **Unit Component:** i19 *has* a unit component, which is `i18`. This indicates the scale or dimension used to express the angle (e.g., degrees, radians).

**3. Relationships with Other Objects:**

*   **i19 and i19_value_component:** i19 is composed of `i19_value_component`. The `measure_with_unit_has_value_component` axiom establishes this ""part-of"" relationship.  `i19_value_component` provides the magnitude of the angle.
*   **i19 and i18:** i19 is associated with `i18` through the `measure_with_unit_has_unit_component` axiom. `i18` specifies the unit of measurement for the angle represented by `i19`.



**In summary:** i19 represents a complete angle measurement, consisting of a numerical value (`i19_value_component`) and a unit of measurement (`i18`). It is specifically categorized as a `plane_angle_measure_with_unit`. The axioms define how these components relate to form a meaningful measurement.",I19,4,"i19_value_component is a plane_angle_measure.
i19 measure_with_unit_has_value_component i19_value_component.
i19 measure_with_unit_has_unit_component i18.
i19 is a plane_angle_measure_with_unit."
Расскажите всё о I20 и его отношениях в Attempto Controlled English.,"## Comprehensive Description of i20

**Object:** i20

**Type/Class:** i20 is a `solid_angle_unit`. More specifically, it is a `named_unit` and a `si_unit`.

**Properties and Values:**

*   **Name:** i20’s name as a SI unit is ""steradian"".

**Relationships with other objects:**

*   **Part of Sets:** i20 is a member (content) of several sets of units: `i145_units`, `i105_units`, `i65_units`, `i20_units`, and `i25_units`. This indicates that i20 is categorized or grouped within these different unit collections.
*   **Unit System:** i20 belongs to the SI (International System of Units) as indicated by `i20 is a si_unit`.
*   **Type of Unit:** i20 measures solid angles, as it is a `solid_angle_unit`.



In essence, i20 represents the SI unit for measuring solid angles, which is the steradian. It is included in multiple unit sets for organizational purposes within the knowledge base.",I20,9,"i20 is a solid_angle_unit.
i145_units set_of_unit_has_content i20.
i20 is a si_unit.
i20 si_unit_has_name steradian.
i105_units set_of_unit_has_content i20.
i65_units set_of_unit_has_content i20.
i185_units set_of_unit_has_content i20.
i25_units set_of_unit_has_content i20.
i20 is a named_unit."
